timestamp_ms,lat,lon,accuracy_m
1788571498001,13.2562489,77.6246095,2.11
1788571499001,13.2562501,77.6246128,2.1
1788571500001,13.2562506,77.624616,2.1
1788571501001,13.2562504,77.6246147,2.09
1788571502001,13.2562512,77.624614,2.09
1788571503001,13.2562514,77.6246131,2.08
1788571504001,13.2562522,77.6246125,2.11
1788571505001,13.2562524,77.6246119,2.1
1788571506001,13.2562523,77.6246113,2.13
1788571507001,13.2562522,77.6246108,2.12
1788571508001,13.2562522,77.6246108,2.11
1788571509001,13.2562522,77.6246108,2.11
1788571510001,13.2562522,77.6246108,2.1
1788571511001,13.2562522,77.6246108,2.1
1788571512001,13.2562522,77.6246108,2.09
1788571513001,13.2562522,77.6246108,2.13
1788571514001,13.2562516,77.6246144,2.13
1788571515001,13.2562504,77.6246151,2.12
1788571516001,13.2562504,77.6246151,2.12
1788571517001,13.2562504,77.6246151,2.11
1788571518001,13.2562504,77.6246151,2.1
1788571519001,13.2562504,77.6246151,2.1
1788571520001,13.2562504,77.6246151,2.09
1788571521001,13.2562504,77.6246151,2.09
1788571522001,13.2562504,77.6246151,2.1
1788571523001,13.2562504,77.6246151,2.1
1788571524001,13.2562504,77.6246151,2.09
1788571525001,13.2562504,77.6246151,2.12
1788571526001,13.2562501,77.6246133,2.11
1788571527001,13.2562501,77.6246131,2.11
1788571528001,13.2562501,77.6246131,2.1
1788571529001,13.2562501,77.6246131,2.1
1788571530001,13.2562501,77.6246131,2.12
1788571531001,13.2562501,77.6246131,2.11
1788571532001,13.2562501,77.6246131,2.12
1788571533001,13.2562501,77.6246131,2.11
1788571534001,13.2562501,77.6246131,2.13
1788571535001,13.2562501,77.6246131,2.15
1788571536001,13.2562501,77.6246131,2.15
1788571537001,13.2562501,77.6246131,2.14
1788571538001,13.2562501,77.6246131,2.14
1788571539001,13.2562501,77.6246131,2.16
1788571540001,13.2562501,77.6246131,2.16
1788571541001,13.2562501,77.6246131,2.15
1788571542001,13.2562514,77.6246101,2.16
1788571543001,13.2562524,77.6246132,2.19
1788571544001,13.2562532,77.6246141,2.22
1788571545001,13.2562523,77.6246126,2.21
1788571546001,13.2562523,77.6246126,2.23
1788571547001,13.2562523,77.6246126,2.24
1788571548001,13.2562523,77.6246126,2.28
1788571549000,13.256253,77.6246143,2.3
1788571550000,13.2562549,77.6246182,2.34
1788571551000,13.2562539,77.6246168,2.33
1788571552000,13.2562549,77.6246161,2.37
1788571553000,13.2562543,77.6246127,2.35
1788571554000,13.2562541,77.6246121,2.33
1788571555000,13.2562531,77.6246091,2.32
1788571556000,13.2562531,77.6246091,2.3
1788571557000,13.2562531,77.6246091,2.29
1788571558000,13.2562517,77.624614,2.27
1788571559000,13.2562563,77.6246089,2.27
1788571560000,13.2562544,77.6246084,2.28
1788571561000,13.2562523,77.6246065,2.26
1788571562000,13.2562551,77.6246076,2.25
1788571563000,13.2562533,77.6246109,2.24
1788571564000,13.2562527,77.6246094,2.23
1788571565000,13.2562501,77.6246094,2.23
1788571565038,13.2562501,77.6246094,2.23
1788571566000,13.2562501,77.6246094,2.22
1788571567000,13.2562501,77.6246094,2.21
1788571568000,13.2562501,77.6246094,2.23
1788571569000,13.2562501,77.6246094,2.21
1788571570000,13.2562501,77.6246094,2.21
1788571571000,13.256255,77.6246104,2.2
1788571572000,13.256255,77.6246104,2.19
1788571573000,13.256255,77.6246104,2.21
1788571574000,13.256255,77.6246104,2.23
1788571575000,13.256255,77.6246104,2.23
1788571576000,13.256255,77.6246104,2.23
1788571577000,13.256255,77.6246104,2.22
1788571578000,13.256255,77.6246104,2.21
1788571579000,13.256255,77.6246104,2.2
1788571580000,13.256255,77.6246104,2.19
1788571581000,13.256255,77.6246104,2.18
1788571582000,13.256255,77.6246104,2.2
1788571583000,13.256255,77.6246104,2.19
1788571584000,13.256255,77.6246104,2.2
1788571585000,13.256255,77.6246104,2.19
1788571586000,13.256255,77.6246104,2.18
1788571587000,13.256255,77.6246104,2.17
1788571588000,13.256255,77.6246104,2.16
1788571589000,13.256255,77.6246104,2.17
1788571590000,13.256255,77.6246104,2.18
1788571591000,13.256255,77.6246104,2.2
1788571592000,13.256255,77.6246104,2.19
1788571593000,13.256255,77.6246104,2.19
1788571594000,13.256255,77.6246104,2.18
1788571595000,13.256255,77.6246104,2.17
1788571596000,13.256255,77.6246104,2.17
1788571597000,13.256255,77.6246104,2.16
1788571598000,13.2562567,77.6246154,2.15
1788571599000,13.256257,77.6246153,2.14
1788571600000,13.2562564,77.6246163,2.14
1788571601000,13.2562569,77.6246156,2.14
1788571602000,13.2562569,77.6246156,2.14
1788571603000,13.2562569,77.6246156,2.13
1788571604000,13.2562569,77.6246156,2.12
1788571605000,13.2562569,77.6246156,2.14
1788571606000,13.2562569,77.6246156,2.13
1788571607000,13.2562603,77.6246175,2.13
1788571608000,13.2562597,77.6246175,2.12
1788571609000,13.2562597,77.6246174,2.14
1788571610000,13.2562597,77.6246174,2.14
1788571611000,13.2562597,77.6246174,2.13
1788571612000,13.2562597,77.6246174,2.12
1788571613000,13.2562597,77.6246174,2.12
1788571614000,13.2562597,77.6246174,2.12
1788571615000,13.2562597,77.6246174,2.11
1788571616000,13.2562597,77.6246174,2.11
1788571617000,13.2562597,77.6246174,2.1
1788571618000,13.2562597,77.6246174,2.13
1788571619000,13.2562597,77.6246174,2.12
1788571620000,13.2562597,77.6246174,2.14
1788571621000,13.2562597,77.6246174,2.13
1788571622000,13.2562597,77.6246174,2.12
1788571623000,13.2562597,77.6246174,2.12
1788571624000,13.2562597,77.6246174,2.11
1788571625000,13.2562597,77.6246174,2.11
1788571626000,13.2562597,77.6246174,2.12
1788571627000,13.2562597,77.6246174,2.12
1788571628000,13.2562597,77.6246174,2.11
1788571629000,13.2562597,77.6246174,2.11
1788571630000,13.2562597,77.6246174,2.1
1788571631000,13.2562597,77.6246174,2.1
1788571632000,13.2562597,77.6246174,2.09
1788571633000,13.2562597,77.6246174,2.09
1788571634000,13.2562597,77.6246174,2.08
1788571635000,13.2562597,77.6246174,2.08
1788571636000,13.2562597,77.6246174,2.11
1788571637000,13.2562597,77.6246174,2.1
1788571638000,13.2562597,77.6246174,2.1
1788571639000,13.2562597,77.6246174,2.09
1788571640000,13.2562597,77.6246174,2.1
1788571641000,13.2562597,77.6246174,2.1
1788571642000,13.2562597,77.6246174,2.09
1788571643000,13.2562597,77.6246174,2.09
1788571644000,13.2562597,77.6246174,2.08
1788571645000,13.2562597,77.6246174,2.08
1788571646001,13.2562597,77.6246174,2.07
1788571647001,13.2562597,77.6246174,2.07
1788571648001,13.2562597,77.6246174,2.07
1788571649001,13.2562597,77.6246174,2.07
1788571650001,13.2562597,77.6246174,2.06
1788571651001,13.2562597,77.6246174,2.06
1788571652001,13.2562597,77.6246174,2.06
1788571653001,13.2562597,77.6246174,2.06
1788571654001,13.2562597,77.6246174,2.06
1788571655001,13.2562597,77.6246174,2.07
1788571656001,13.2562597,77.6246174,2.07
1788571657001,13.2562597,77.6246174,2.07
1788571658001,13.2562597,77.6246174,2.07
1788571659001,13.2562597,77.6246174,2.06
1788571660001,13.2562597,77.6246174,2.06
1788571661001,13.2562597,77.6246174,2.06
1788571662000,13.2562597,77.6246174,2.05
1788571663000,13.2562597,77.6246174,2.05
1788571664000,13.2562597,77.6246174,2.05
1788571665000,13.2562597,77.6246174,2.05
1788571666000,13.2562597,77.6246174,2.04
1788571667000,13.2562597,77.6246174,2.04
1788571668000,13.2562597,77.6246174,2.04
1788571669000,13.2562597,77.6246174,2.04
1788571670000,13.2562597,77.6246174,2.04
1788571671000,13.2562597,77.6246174,2.04
1788571672000,13.2562597,77.6246174,2.04
1788571673000,13.2562597,77.6246174,2.04
1788571674000,13.2562597,77.6246174,2.04
1788571675000,13.2562597,77.6246174,2.04
1788571676000,13.2562597,77.6246174,2.03
1788571677000,13.2562597,77.6246174,2.03
1788571678000,13.2562597,77.6246174,2.03
1788571679000,13.2562597,77.6246174,2.03
1788571680000,13.2562597,77.6246174,2.03
1788571681000,13.2562597,77.6246174,2.05
1788571682000,13.2562597,77.6246174,2.06
1788571683000,13.2562597,77.6246174,2.06
1788571684000,13.2562597,77.6246174,2.08
1788571685000,13.2562597,77.6246174,2.08
1788571686000,13.2562597,77.6246174,2.08
1788571687000,13.2562597,77.6246174,2.1
1788571688000,13.2562597,77.6246174,2.1
1788571689000,13.2562597,77.6246174,2.1
1788571690000,13.2562597,77.6246174,2.09
1788571691000,13.2562597,77.6246174,2.12
1788571692000,13.2562597,77.6246174,2.13
1788571693000,13.2562597,77.6246174,2.15
1788571694000,13.2562597,77.6246174,2.14
1788571695000,13.2562597,77.6246174,2.15
1788571696000,13.2562597,77.6246174,2.16
